,STATE,REVENUES,YEAR
0,Alabama,5967,2017
1,Arizona,56882,2017
2,Arkansas,550748,2017
3,California,1483730,2017
4,Colorado,106311,2017
5,Connecticut,462485,2017
6,Delaware,29994,2017
7,District of Columbia,127074,2017
8,Florida,248526,2017
9,Georgia,389168,2017
10,Idaho,71133,2017
11,Illinois,828682,2017
12,Indiana,150979,2017
13,Iowa,23957,2017
14,Kansas,12172,2017
15,Kentucky,67972,2017
16,Louisiana,28316,2017
17,Maryland,79715,2017
18,Massachusetts,223975,2017
19,Michigan,523249,2017
20,Minnesota,510424,2017
21,Missouri,219538,2017
22,Nebraska,274151,2017
23,Nevada,20865,2017
24,New Jersey,387793,2017
25,New York,1294921,2017
26,North Carolina,266819,2017
27,Ohio,607511,2017
28,Oklahoma,48231,2017
29,Oregon,41054,2017
30,Pennsylvania,421832,2017
31,Rhode Island,205547,2017
32,Tennessee,209711,2017
33,Texas,1191172,2017
34,Utah,9657,2017
35,Virginia,346675,2017
36,Washington,421837,2017
37,Wisconsin,107101,2017
